epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,57.7595,0.42654,0.53736,0.86224,0.48878,1,0.4975,0.398,0.83513,2.35427,0.96246,0.000474138,0.000474138,0.000474138
65,58.6514,0.39766,0.73191,0.83887,0.48878,1,0.4975,0.398,0.83513,2.35427,0.96246,0.000468992,0.000468992,0.000468992
66,59.489,0.40023,0.546,0.87479,0.87929,1,0.995,0.8955,0.59142,0.91624,0.87629,0.00046345,0.00046345,0.00046345
67,60.3127,0.36342,0.61108,0.78574,0.87929,1,0.995,0.8955,0.59142,0.91624,0.87629,0.000457512,0.000457512,0.000457512
68,61.1084,0.50491,0.65281,0.84155,0.87929,1,0.995,0.8955,0.59142,0.91624,0.87629,0.000451178,0.000451178,0.000451178
69,61.9887,0.36611,0.48655,0.80381,0.95838,1,0.995,0.8955,0.56926,0.76455,0.87185,0.000444448,0.000444448,0.000444448
70,63.0249,0.58884,0.46986,1.0126,0.95838,1,0.995,0.8955,0.56926,0.76455,0.87185,0.000437322,0.000437322,0.000437322
71,63.8467,0.52668,0.60708,0.88773,0.95838,1,0.995,0.8955,0.56926,0.76455,0.87185,0.0004298,0.0004298,0.0004298
72,64.7047,0.41627,0.45059,0.83299,0.95693,1,0.995,0.8955,0.53507,0.79141,0.91314,0.000421882,0.000421882,0.000421882
73,65.5551,0.26224,0.3493,0.77698,0.95693,1,0.995,0.8955,0.53507,0.79141,0.91314,0.000413568,0.000413568,0.000413568
74,66.37,0.36634,0.34986,0.84139,0.95693,1,0.995,0.8955,0.53507,0.79141,0.91314,0.000404858,0.000404858,0.000404858
75,67.254,0.35635,0.38926,0.87762,0.9636,1,0.995,0.8955,0.61059,0.75904,0.96422,0.000395752,0.000395752,0.000395752
76,68.1004,0.43462,0.54228,0.85283,0.9636,1,0.995,0.8955,0.61059,0.75904,0.96422,0.00038625,0.00038625,0.00038625
77,68.9551,0.41699,0.47222,0.854,0.9636,1,0.995,0.8955,0.61059,0.75904,0.96422,0.000376352,0.000376352,0.000376352
78,69.8205,0.30721,0.52267,0.78122,0.97043,1,0.995,0.8955,0.57035,0.63459,0.9076,0.000366058,0.000366058,0.000366058
79,70.843,0.40322,0.43981,0.85779,0.97043,1,0.995,0.8955,0.57035,0.63459,0.9076,0.000355368,0.000355368,0.000355368
80,71.6735,0.45708,0.50783,0.8899,0.97043,1,0.995,0.8955,0.57035,0.63459,0.9076,0.000344282,0.000344282,0.000344282
81,72.5381,0.3493,0.42933,0.84524,0.9736,1,0.995,0.8955,0.50735,0.53154,0.86474,0.0003328,0.0003328,0.0003328
82,73.4052,0.46114,0.53029,0.85274,0.9736,1,0.995,0.8955,0.50735,0.53154,0.86474,0.000320922,0.000320922,0.000320922
83,74.2599,0.3425,0.37098,0.86102,0.9736,1,0.995,0.8955,0.50735,0.53154,0.86474,0.000308648,0.000308648,0.000308648
84,75.2969,0.30678,0.39655,0.79744,0.97324,1,0.995,0.8955,0.47743,0.44645,0.82377,0.000295978,0.000295978,0.000295978
85,76.1735,0.34442,0.37959,0.8138,0.97324,1,0.995,0.8955,0.47743,0.44645,0.82377,0.000282912,0.000282912,0.000282912
86,76.9587,0.32081,0.48367,0.81837,0.97324,1,0.995,0.8955,0.47743,0.44645,0.82377,0.00026945,0.00026945,0.00026945
87,77.8125,0.31807,0.42901,0.88657,0.97324,1,0.995,0.8955,0.47743,0.44645,0.82377,0.000255592,0.000255592,0.000255592
88,78.6452,0.33715,0.37567,0.77873,0.97381,1,0.995,0.8955,0.46575,0.39143,0.792,0.000241338,0.000241338,0.000241338
89,79.5016,0.36262,0.47539,0.88215,0.97381,1,0.995,0.8955,0.46575,0.39143,0.792,0.000226688,0.000226688,0.000226688
90,80.3245,0.30151,0.3578,0.71299,0.97381,1,0.995,0.8955,0.46575,0.39143,0.792,0.000211642,0.000211642,0.000211642
91,84.9458,0.29527,0.37054,0.76067,0.97381,1,0.995,0.8955,0.46575,0.39143,0.792,0.0001962,0.0001962,0.0001962
92,85.9438,0.31561,0.35743,0.77647,0.97297,1,0.995,0.995,0.40037,0.36574,0.73059,0.000180362,0.000180362,0.000180362
93,86.9863,0.28165,0.38299,0.76878,0.97297,1,0.995,0.995,0.40037,0.36574,0.73059,0.000164128,0.000164128,0.000164128
94,87.9493,0.41414,0.49615,1.01137,0.97297,1,0.995,0.995,0.40037,0.36574,0.73059,0.000147498,0.000147498,0.000147498
95,88.9416,0.27344,0.35089,0.83015,0.97297,1,0.995,0.995,0.40037,0.36574,0.73059,0.000130472,0.000130472,0.000130472
96,89.9714,0.29724,0.36806,0.76285,0.97121,1,0.995,0.995,0.35902,0.38736,0.70046,0.00011305,0.00011305,0.00011305
97,91.1153,0.24383,0.32289,0.84644,0.97121,1,0.995,0.995,0.35902,0.38736,0.70046,9.5232e-05,9.5232e-05,9.5232e-05
98,92.081,0.23912,0.29649,0.86536,0.97121,1,0.995,0.995,0.35902,0.38736,0.70046,7.7018e-05,7.7018e-05,7.7018e-05
99,93.1064,0.25882,0.27003,0.72944,0.97121,1,0.995,0.995,0.35902,0.38736,0.70046,5.8408e-05,5.8408e-05,5.8408e-05
100,94.118,0.5149,0.79748,0.86692,0.97117,1,0.995,0.995,0.32967,0.37752,0.68571,3.9402e-05,3.9402e-05,3.9402e-05
